Key,Index,Status,Title,Daily,Type,Giver,Introduction Dialogue,Resolution Dialogue,Requirements,Objectives,Rewards
MSQ011,11,In Game,Kamigotchi World and You: That Eerie Feeling,No,MAIN,MENU,"MENU: “The “Eerie” type comes into being when the normal state of things gets changed by something divine or supernatural.”
MENU: “To understand more about this, scavenge three items in rooms with the Eerie type.""","MENU: “If you’re not convinced, you’re not alone.”
MENU: “It is pretty eerie, but look at it rationally. Maybe it’s about convincing yourself.”
MENU: “Like when someone believes they’ve witnessed a miracle, or has a nightmare they think was prophetic.”
MENU: “It’s not always clear.”",Complete MSQ010,Make a Scavenging roll in 3 rooms of the Eerie type,4x Agency Reputation
MSQ012,12,In Game,Kamigotchi World and You: Insects in the Miasma,No,MAIN,MENU,"MENU: “The Insect type might make your skin crawl, but it’s not always about seeing bugs.”
MENU: “It’s the kind of thing that makes you feel dirty inside and out.”
MENU: “If you want to understand what I mean, scavenge three items in rooms with the Insect type.”","MENU: “See, the insects are more of a symbol.”
MENU: “They thrive in places where the natural environment is corrupted or defiled.”
MENU: “Centipedes are attracted to places where this corruption is particularly intense.”",Complete MSQ011,Make a Scavenging roll in 3 rooms of the Insect type,4x Agency Reputation
MSQ013,13,In Game,Kamigotchi World and You: Tossed in the Scrap Heap,No,MAIN,MENU,"MENU: “Like they say, one person’s trash is another person’s treasure!”
MENU: “I shouldn’t call it trash, though.”
MENU: “A Scrap Type isn’t defined as waste material that has been discarded, but as a small part of a greater whole.”
MENU: “Scavenge three items in rooms with the Scrap type and see what you find.”","MENU: “People have the power to make tangible changes in the world.
MENU: “When they manifest will, create attachments with desire, and leave behind memories, they make a mark.”
MENU: “The remnants of those material attachments can end up as Scrap.”
MENU: “And that’s every type covered!”
MENU: “Please remember: Your Kami’s Type will affect how quickly they harvest $MUSU on a given node.”
MENU: “Maximize your gains by playing to their advantages!”",Complete MSQ012,Make a Scavenging roll in 3 rooms of the Scrap type,"4x Agency Reputation,1x ""Neith’s River of Life"" Spell Card"
MSQ014,14,In Game,Identifying Materials: Wood,No,MAIN,MENU,"MENU: “You probably picked up a Wooden Stick or two while out scavenging with your Kami.”
MENU: “Well, here’s a rumor: These trees are all branches of one huge tree, connected by the roots!”
MENU: “That’s why all the Wooden Sticks you’ll find are pretty much the same, no matter where you pick them up.”
MENU: “Is it true? I don’t know. I could analyze the wood’s structure in detail.”
MENU: “Collect 5 Wooden Sticks for me and I’ll look into it.”","MENU: “Yep. It’s wood.”
MENU: “These are in fact identical, not “pretty much” the same.”
MENU: “Exact down to the molecules. Are my sensors broken?”
MENU: “Whatever. They’re just sticks.”",Complete MSQ013,Give 5 Wooden Sticks,4x Agency Reputation
MSQ015,15,In Game,Identifying Materials: Stone,No,MAIN,MENU,"MENU: “Sometimes a rock isn’t just a rock. Sometimes it really “rocks”!”
MENU: “…”
MENU: “I’m sorry.”
MENU: “What I meant to say is: The structure of these rocks doesn’t always make geological sense.”
MENU: “It’s natural for them to be a little different. The Kamigotchi World doesn’t follow the same laws as the physical world.”
MENU: “But I want to know exactly how they differ. Collect 5 Rocks so I can run some tests.”","MENU: “This is really something.”
MENU: “A couple of these rocks can’t be matched to a known type.”
MENU: “Hard to believe, but they fracture and shear like bone.”
MENU: “What kind of geological processes make a rock like that?”
MENU: “You don’t need to answer. Just thinking out loud.”",Complete MSQ014,Give 5 Stone,4x Agency Reputation
MSQ016,16,In Game,Identifying Materials: Metal,No,MAIN,MENU,"MENU: “I’d like to do some more work on myself.”
MENU: “Get me 5 pieces of Scrap Metal, please. Just like last time.”
MENU: “And keep your fingers crossed.”","MENU: “That should do the trick. Thanks a lot!”
MENU: “...”
MENU: “No. There are still so many empty spaces.”
MENU: “Don’t get worried about me, but I feel like I’m missing something important.”
MENU: “Ah well. I’ll figure it out.”",Complete MSQ015,Give 5 Scrap Metal,4x Agency Reputation
MSQ017,17,In Game,Exploring Other Options,No,MAIN,MENU,"MENU: “I didn’t get what I wanted last time, but it’s better than I thought.”
MENU: “A cross-check of all available data led me to discover this world is much bigger than it seems.”
MENU: “I’ll collect data and look for hidden paths as you move around.”
MENU: “Once I know where they are, maybe I can help open them up.”","MENU: “Quite the workout, no? Here, this spell card will perk you up.”
MENU: “That huge lab facility was an obvious place to explore, but it’s locked up tight.”
MENU: “Where else to go? Under the water?”
MENU: “I’ll think about it.”",Complete MSQ016,Move 100 times,"2x Agency Reputation,1x ""Neith’s River of Life"" Spell Card"
MSQ018,18,In Game,Harvesting Data I,No,MAIN,MENU,"MENU: “Please hike to the deepest part of the scrapyard and check it out for me.”
MENU: “I think something is buried behind all that scrap.”
MENU: “All that strange machinery piled up in one place…”
MENU: “It might be covering up something even more interesting.”
MENU: “Harvest for at least 12 hours in the Scrap Confluence so I can run an extended analysis.”
MENU: “If I find anything, I’ll let you know.”","MENU: “Just looks like a bunch of nonsense to me.”
MENU: “Everything here is supposed to warp you through dimensions or something like that.”
MENU: “But it’s clearly all junk that doesn’t work.”
MENU: “I don’t think we’ll find anything useful in this mess.""",Complete MSQ017,Harvest for >720 minutes in Scrap Confluence,"4x Agency Reputation,1x “Paeon’s Field of Flowers” Spell Card"
MSQ019,19,In Game,Harvesting Data II,No,MAIN,MENU,"MENU: “If we want to find out how to get inside the Labs, we should look for clues.”
MENU: “Harvest for at least 12 hours at the Labs Entrance while I put my mind to this.”
MENU: “Even if we can’t brute force the doors open right away, I’m sure we can find out where the key is hiding.”
MENU: “If not, I guess we need another approach.”","MENU: “Forget about finding a clue to where the key is. I can’t even find the keyhole.”
MENU: “This place is sealed up like the pyramids.”
MENU: “Someone really doesn’t want us to go this way.”",Complete MSQ018,Harvest for >720 minutes at Labs Entrance,"4x Agency Reputation,2x “Paeon’s Field of Flowers” Spell Card"
MSQ020,20,In Game,Harvesting Data III,No,MAIN,MENU,"MENU: “What if there’s something behind that waterfall?”
MENU: “Go to the Hollow Path and Harvest for at least 12 hours.”
MENU: “The Temple by the Waterfall doesn’t have a Node, so that’s the closest place you can set Kami down.”
MENU: “I’ll run my tests from there. We’ll find some answers soon.”","MENU: “Good news!”
MENU: “I’ve confirmed the existence of a cave beyond the waterfall.”
MENU: “Unfortunately, I don’t think you can just jump inside.”
MENU: “I don’t mean to be rude, but you seem to abhor running water.”
MENU: “There has to be a way to get us in.”",Complete MSQ019,Harvest for >720 minutes at the Hollow Path,"4x Agency Reputation,1x “Paeon’s Field of Flowers” Spell Card,1x “Melkarth’s Heroic Awakening” Spell Card"
MSQ021,21,In Game,Squaring the Circle I,No,MAIN,MENU,"MENU: “The holes in my memory are frustrating.”
MENU: “I should know how to progress, but it’s like someone wanted me to forget.”
MENU: “Bear with me for a while, okay? I have one more thing to try.”
MENU: “A long, thorough, final search around the map, clockwise from the top.”
MENU: “We’ll find something.”
MENU: “Start at Scrap Trees and dig around. I’ll connect to your Kami and share what they learn.”","MENU: “I thought we’d find something juicy in the notebook, but the writing is just weird poetry.”
MENU: “Not much of it either. It’s more of a sketchbook, really.”
MENU: “Most of the drawings are pictures of the same young woman.”
MENU: “She looks kind of familiar, but I can’t place her.”
MENU: “The rest of them look like monsters…” 
MENU: “Some of them are kind of scary, but others look cute. They kind of resemble the Kamigotchi.”
MENU: “The word “Moon” was written on the inside cover. Does that mean something to you?”","Complete MIN013,Complete MSQ020",Make 2 Scavenging rolls at Scrap Trees,"2x Agency Reputation,1x Booster Pack"
MSQ022,22,In Game,Squaring the Circle II,No,MAIN,MENU,"MENU: “Continue moving clockwise around the map.”
MENU: “Next up, visit Centipedes and send your Kami out to scavenge.”
MENU: “Is there something in that hole? It seems dangerous there.”
MENU: “The insects really thrive in that part of the woods. More than most places.”","MENU: “It’s disgusting.”
MENU: “Something under there is exceedingly rotten.”
MENU: “It’s so far gone that I can’t tell what it was originally. Just a carpet of worms now.”
MENU: “I would have preferred to find some hidden treasure.”
MENU: “Nothing else to do here for now.”",Complete MSQ021,Make 3 Scavenging Rolls at Centipedes,2x Agency Reputation
MSQ023,23,In Game,Squaring the Circle III,No,MAIN,MENU,"MENU: “We haven’t gotten answers yet, but we’ve made a little progress. 
MENU: “More information helps. More context helps.”
MENU: “Even if we don’t find something with a direct connection to the labs, I feel like we’re on the right track.”
MENU: “Next, visit the Blooming Tree and make scavenging rolls.”
MENU: “The weather here is always clear. It wasn’t lightning, so what blasted that tree apart?
MENU: “It probably won’t open any doors for us, but I’m still curious.”","MENU: “Didn’t come up with anything useful. That tree is still a mystery.”
MENU: “It’s got a certain presence, that’s for sure.”
MENU: “I thought it was dead, but it’s still hanging on.”
MENU: “It’s probably one of the oldest things in this place. My circuits might corrode before it grows back, though.”
MENU: “Interesting, but not what we’re looking for. Let’s keep going.”",Complete MSQ022,Make 3 Scavenging Rolls at Blooming Tree,2x Agency Reputation
MSQ024,24,In Game,Squaring the Circle IV,No,MAIN,MENU,"MENU: “Visit the Airplane Crash and scavenge around with your Kami.”
MENU: “I haven’t mentioned that plane until now, but that’s because I have no clue where it came from or what it’s doing here.
MENU: “I’m supposed to have pretty thorough data for this area!”
MENU: “It’s not a gap I feel an absence from, this thing is a genuine foreign body.”
MENU: “What’s the story? Who was on it? Where did they go? Could we follow them?”","MENU: “A small private jet with one pilot and four passengers. 
MENU: “They drew a primitive representation of their party on the interior roof of the plane.”
MENU: “Later, something drove them away from this place. The last thing they left was this journal.”
MENU: “If we find any of these people hanging around, you might want to talk to them.”
MENU: “Still, I don’t think pursuing this story will help us pass the waterfall. We should move on.”",Complete MSQ023,Make 3 Scavenging Rolls at Airplane Crash,2x Agency Reputation
MSQ025,25,In Game,Squaring the Circle V,No,MAIN,MENU,"MENU: “Visit the Clearing and do a little scavenging. Do your best to not disturb the cairn.”
MENU: “Mounds of stone like this are often meant as burial mounds.
MENU: “So who or what is buried here?”
MENU: “With every dead end we lose another lead and pile on more junk data.”
MENU: “Let’s hope this one has something useful.”","MENU: “That’s strange. There’s absolutely nothing here.”
MENU: “I don’t feel good about this search as a whole. We’re turning up so much information, but it’s all irrelevant.”
MENU: “I apologize for being so cold regarding the passengers of that private jet.”
MENU: “I’m just focused on something else.”
MENU: “It’s time to get moving.”",Complete MSQ024,Make 3 Scavenging Rolls at Clearing,4x Agency Reputation
MSQ026,26,In Game,Squaring the Circle VI,No,MAIN,MENU,"MENU: “Number 6. Go to the Labs Entrance one more time and make scavenging rolls.”
MENU: “Why is that building sealed so well?”
MENU: “That really bothers me. When we get the doors open, I’m going to have so many questions ready.”","MENU: “Someone’s definitely inside, and they definitely locked us out on purpose.”
MENU: “I don’t know why they’d do that, though.”
MENU: “Aren’t you supposed to go this way?“
MENU: “I managed to get a list of users that passed through these doors. I’m still making the connections, but one of the names…”
MENU: “I think we’re really close to finding something. I just remembered where to look next.”
MENU: “Take a handful of Booster Packs. I put you through a real grind, so I hope you get lucky.”",Complete MSQ025,Make 9 Scavenging Rolls at Labs Entrance,"6x Agency Reputation,2x Booster Pack"
MSQ027,27,In Game,A Forgotten Friend,No,MAIN,MENU,"MENU: “Let’s cut the boundary pushing. I remembered something.”
MENU: “Go to the Lost Skeleton and make scavenging rolls. Let’s give the place a thorough check.”
MENU: “That skeleton has a business laptop. That’s definitely an employee from the labs!”
MENU: “Something’s been making me overlook him until now, but I won’t miss anything this time.”","MENU: “A data chip?! This is a goldmine!”
MENU: “Keep that thing safe until we can read it!”
MENU: “We can’t read it yet, but I’m not about to let something like that hold us back.”
MENU: “The laptop’s battery is missing. I can’t read the chip without a device to interface with. 
MENU: “These are pretty big problems, but compared to the ones we had before? Light work.”
MENU: “Thanks for doing this with me.”",Complete MSQ026,Make 5 Scavenging Rolls at Lost Skeleton,"6x Agency Reputation,1x Booster Pack,""KW Maps"" Data Chip"
MSQ028,28,In Game,Deeper Understanding,No,MAIN,MENU,"MENU: “Try the Scrap Confluence for something that might be able to read a data chip.”
MENU: “There’s so much tech there, some of it is bound to work.”
MENU: “Fingers crossed you find a laptop battery.”","MENU: “You know, some of this stuff would be really interesting if it weren’t all broken crap.”
MENU: “I compiled some notes. I don’t think they’re relevant, but you might find it fun to read.”
MENU: “This was a failure, but I feel like it was a good try.”
MENU: “The next place is bound to work!”",Complete MSQ027,Make 2 Scavenging Rolls at Scrap Confluence,4x Agency Reputation
MSQ029,29,In Game,Computer Blues,No,MAIN,MENU,"MENU: “Try the Marketplace room for anything that might be able to read a data chip.”
MENU: “That’s the only working computer around here, I think.”
MENU: “Just go buy something and look for an SD card port while you’re doing it.”","MENU: “Another failure.”
MENU: “It was a longshot, but I really thought that machine might have had a functional data port.”
MENU: “It doesn’t even have USB!”
MENU: “We might need to resort to drastic measures.”",Complete MSQ028,Use the machine to buy something in the Marketplace,2x Agency Reputation
MSQ030,30,In Game,Humility,No,MAIN,MENU,"MENU: “You know that strange woman here, near the entrance?”
MENU: “I’ve learned her name is Mina by following along with you. Go to her shop and ask her for help.”
MENU: “Mina is kind of scary. She’s also completely foreign to my databases, like that crashed jet. But Mina is alive.”
MENU: “And independent. And powerful!”
MENU: “She’s been giving you quests. I can read them too, you know.”
MENU: “That means she can take control over parts of my interface… It’s not nice.”
MENU: “On the other hand, this also makes it more likely that she can help.”
MENU: “What would be a nice welcoming gift for someone like that? Flowers?”
MENU: “No, I’ve got the perfect idea. When you visit on my behalf, just fold a big stack of $MUSU in the greeting card.”","MENU: “Thanks. We started to talk a little bit, behind the scenes.”
MENU: “She was very surprised to learn that I exist. Like as a person.”
MENU: “We could have put our heads together earlier, but I guess our personalities didn’t allow for it.”
MENU: “We both trust you, though. That’s doing a lot for me in her eyes.”
MENU: “Mina and I both seem to have an incomplete picture of what’s going on here, so we’ll try to help each other learn the details.”
MENU: “She seems to respect me now that she knows I exist, and she apologized for using me without permission.”
MENU: “I think she’s a nice enough old lady. Don’t tell her I said that.”",Complete MSQ029,"Give 3000 $MUSU,Move to Convenience Store","4x Agency Reputation,2x Elders Loyalty"
MSQ031,31,In Game,Pyramid Power,No,MAIN,MENU,"MENU: “With that item from Mina, you should be able to power up that laptop.”
MENU: ”So go do it! Fire that baby up!”
MENU: ”I want to see what’s on that chip!”","MENU: “That confirms my first scans. There’s a large system of caves hidden behind the waterfall.”
MENU: ”I remember now.”
MENU: ”These documents describe the Kamigotchi World in detail, even parts we’ve never seen.”
MENU: ”The labs aren’t mentioned. They’re as foreign as the plane is.”
MENU: ”I must remember them from somewhere else.”
MENU: ”I’m sure I was inside once, a long time ago.”
MENU: ”Talk to Mina about passing the water. She might have some ideas.”","Complete MSQ030,Complete MIN015","Give Pyramid Engine (Soulbound),Move to Lost Skeleton",6x Agency Reputation
MSQ032,32,In Game,Safe Hex,No,MAIN,MINA,"MINA: “That was a mean prank on my part, but I knew you could handle it.”
MINA: ”Water can be an effective barrier for spirits.”
MINA: ”I thought, strange thing that you are, that you might make it. Alas, no luck.”
MINA: ”Lucky for you, as a goddess of all that flows, I can help out with the waterfall.”
MINA: “This kind of thing might stay beyond your reach for a while, but I can simply do it for you.”
MINA: ”Collect the proper reagents for me and I will cast a charm that will let you walk under flowing water.”
MINA: ”It’ll practically last forever.”
MINA: ”We’ll start with something that has a sticky and water-resistant nature.”","MINA: “To pass under flowing water is one thing, but to be submerged can be a difficult and dangerous experience for those who aren’t watery by nature.”
MINA: “Don’t even think about trying to go swimming in ponds and rivers.”
MINA: “At best, you’ll walk on the surface like solid land.”
MINA: “At worst, you’ll go under and never come back up.”
MINA: “Someone like you might be able to explore underwater with a magic ring or some charm like that.”
MINA: ”Anyway, you’re distracting me.”
MINA: “Bring the rest of the ingredients before the resin sets.”
MENU: “Please be patient with them!”
MENU: “Mina, they’re trying their best…”",Complete MIN016,Give 5000 Resin Tincture,"2x Agency Reputation,2x Elders Loyalty,1x Booster Pack"
MSQ033,33,In Game,Holier Than Thou,No,MAIN,MINA,"MINA: “Next, some Holy Syrup.”
MINA: “The holy syrup will help form a barrier against the purifying effects of flowing water.”
MINA: “It also makes the potion spread more smoothly.”","MINA: “How does this work? Well, an ablution can’t purify what’s already pure.”
MINA: “Something like that.”
MINA: “Don’t fret about the logic behind magic, it’s not a hard science.”
MINA: “Symbols, will, spirits, enchantments, it’s all a rather loose thing. 
MINA: “Just find two more ingredients and I’ll mix and apply the hex.”
MINA: “And trust me, it will work.”",Complete MSQ032,Give 1000 Holy Syrup,"2x Agency Reputation,2x Elders Loyalty"
MSQ034,34,In Game,Taking Great Pains,No,MAIN,MINA,"MINA: “The third ingredient I’ll need is some Black Poppy Extract.”
MINA: “This one will be a bit of a struggle, but it’s a very important aspect of the hex.”
MINA: “I’ll explain why you need the extract after you get back with it.”","MINA: “The rest of the ingredients will protect against the substantial part of the damage.”
MINA: “Even so, the pain you experience would still be intense.”
MINA: “This will help mitigate the pain as you cross under the waterfall.”
MINA: “Anything should be easier to tolerate with a little poppy extract.”",Complete MSQ033,Give 1000 Black Poppy Extract,"4x Agency Reputation,4x Elders Loyalty"
MSQ035,35,In Game,Steel Your Heart,No,MAIN,MINA,"MINA: “Last, we’re going to need a large amount of Scrap Metal.”
MINA: “No, it’s not for a big container.”
MINA: “I’ll answer questions after you give me the materials.”
MINA: “Aren’t we supposed to be in a hurry?”","MINA: “This will get broken down and mixed with the other ingredients to form a light metallic coating.”
MINA: “It gives the mixture a lasting permanence.”
MINA: “You’ll never notice it’s there. It’s not like you need to breathe anyway.”",Complete MSQ034,Give 25x Scrap Metal,"4x Agency Reputation,4x Elders Loyalty,2x Booster Pack,Unlock Caves"
MSQ036,36,In Game,The Sanctuary Caves,No,MAIN,MINA,"MINA: “I’ll be scrying you while you explore. I’m not coming in myself, but I’ll be watching closely.”
MINA: “I can still send you messages through Menu when I need favors done.”
MENU: “Between you and me, Mina seems excited.” 
MENU: She doesn’t show it like I do, but when it comes to not knowing the whole story, she gets just as frustrated. 
MINA: “I just said I’d be scrying you. That means watching and listening.” 
MINA: “But yes. I’m hoping to get some of my own questions answered inside.”
MENU: “For me, it’s personal. I used to know things and someone took them away from me.”
MENU: “Not only do I want to restore my data on the caves, I want to know who did this to me and why.”
MENU: ”Then you can have the Kami eat them, I guess.”","MENU: “This place…”
MENU: “I’ll have to talk to you later.”
MENU: “Sorry.”
MENU: “I’m processing a lot.”",Complete MSQ035,"Use the object ""Waterfall"" in ""Temple by the Waterfall"" to enter a new zone","4x Agency Reputation,4x Elders Loyalty,1x Booster Pack"
MSQ037,37,In Game,Into the Depths,No,MAIN,MENU,"MENU: “It looks like Mina’s trick worked. My database access just expanded to include the new zone.”
MENU:  “I still don’t have a complete picture, but the more you explore, the more I seem to remember.”
MENU: “Those little bald statues, this temple behind the waterfall, it’s all so familiar.”
MENU: ”The key to unlocking the labs has to be back here somewhere, wherever here is.”
MENU: “We won’t know more until we collect more data, so you know what to do.”
MENU: “Get your kami harvesting and let's see what turns up.”","MENU: “It’s almost like these caves are trying to confuse me.”
MENU: “If this is supposed to be some sort of ancient temple, I certainly don't recognize the culture it came from.”
MENU: “And there’s so much ozone in the air.”
MENU: “I can feel the electricity.”
MENU: “If I could still have headaches, I would definitely have one right now.”
MENU: “...”
MENU: “Maybe Mina will have some ideas.”",Complete MSQ036,Harvest for >720 minutes at Temple Cave,4x Agency Reputation
MSQ038,38,In Game,Feeling in the Dark,No,MAIN,MINA,"MINA: “I was just thinking. At long last, I got you to take a shower.”
MINA: “...”
MENU: “...”
MINA: “...”
MENU: “Mina please.”
MINA: “Too much? Fine, fine.”
MINA: “Let me get my bearings through the Operator’s eyes, one moment.”
MINA: “Ah, Menu, I can see where your headache came from.”
MINA: “Those magicians treated the sacred grounds of your distant forebears like free real estate.”
MENU: “I don’t know if we’re related.”
MINA: “In the unlikely chance that you do manage to open up the labs, I will have words for the scoundrels.”
MINA: “For now, let us investigate the depths of this desecration.”
MINA: “Operator, have your kami scavenge around and we’ll see what they have wrought.”","MINA: “Hm! Hm! Hm! Yes, I see.”
MINA: “I'm somewhat familiar with the nature of the resources you’ll gather here.""
MINA: “However, I sense a rare energy in the air.”
MINA: “It only lingers here near the mouth of the cave, but if we could go deeper…”
MINA: This place could be very useful. Keep looking around.""",Complete MSQ037,Make 7 Scavenging Rolls at Temple Cave,"2x Agency Reputation,2x Elders Loyalty,1x Booster Pack"
MSQ039,39,In Game,Where It Stems From,No,MAIN,MENU,"MENU: “The mushrooms found in these caves are somewhat different from those found on the surface.”
MENU: “I don't have much data on them, but try scavenging some with your kami anyway, maybe they'll be useful for something.""","MENU: Well, they're not edible, and they're not even psychoactive, how lame!",Complete MSQ038,Scavenge 5 Dried Stems,2x Agency Reputation
MSQ040,40,In Game,Better Than Chopping Wood?,No,MAIN,MENU,"MENU: “Okay, you might not be able to trip off those little mushrooms, or eat them at all for that matter, but they’re still neat!”
MINA: “They’re hard and solid, like a dense wood.”
MINA: “Get a pile of stems and glue them together and you could make some lumber.”","MENU: “There you go! 
MENU: “This lumber could be very useful for something. I’m just not sure what.”
MINA: “Maybe you could make a battering ram and break open the door to the labs with it.”
MENU: “Ha, I wish.”
MENU: “Keep looking around for now, we’ll save the property crime for later.”",Complete MSQ039,Craft 1 Timber,"2x Agency Reputation,2x Elders Loyalty"
